Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.
Euphorbia flavicoma,82.41,25.999,36.488,0.161,1.18,0.236
Euphorbia helioscopia,333.71,16.6,29.399,0.19,2.1893,0.197
Euphorbia maculata,24.47,28.859,35.586,0.108,0.1717,0.193
Euphorbia nutans,116.94,16.61,71.007,0.35,0.425,0.384
Euphorbia peplus,79,20.026,25.328,0.189,0.5429,0.185
Euphorbia serpyllifolia,36,29.97,30.488,0.039,0.255,0.159
Euphorbia variabilis,210.53,22.049,43.705,0.288,3.66,0.232
Euphrasia frigida,31.63,53.767,44.766,0.035,0.2687,0.347
Euphrasia minima,33.66,26.86,43.912,0.1,0.18,0.186
Eusideroxylon zwageri,15950.76,18.535,90.85,22.361,28571,0.798
Euthamia graminifolia,403.89,18.199,52.203,0.747,0.0657,0.286
Excoecaria agallocha,675,20.3,208.815,15,49.4557,0.399
Fagara coco,5712.89,34.28,86.957,6.5,38.7,0.486
Fagus grandifolia,3534.3,18.833,55.351,30.03,261.2409,0.67
Fagus sylvatica,2061.6,22.27,65.367,31.477,186.9854,0.681
Falcataria moluccana,55.14,25.466,90.009,19.628,24.7498,0.298
Fallopia convolvulus,619.98,17.395,30.898,0.66,3.9717,0.19
Fallopia scandens,155.63,16.13,32.414,0.304,0.1,0.179
Faramea occidentalis,4892.34,19.484,67.202,12.693,269.5441,0.602
Festuca altissima,2403.5,22.664,35.551,0.79,0.6404,0.225
Festuca arizonica,120,12.473,73.529,0.438,0.878,0.323
Festuca arundinacea,1941.67,23.754,57.162,0.724,2.073,0.204
Festuca christianii-bernardii,43.52,12.577,124.168,0.035,0.4891,0.368
Festuca filiformis,196.25,8.819,67.102,0.313,0.3295,0.173
Festuca gigantea,3341,29.62,36.451,0.956,2.9293,0.192
Festuca halleri,22.2,12.767,101.87,0.117,1.24,0.367
Festuca heterophylla,284.87,27.997,33.015,0.566,1.3846,0.202
Festuca nigrescens,106.68,14.21,63.884,0.332,0.9107,0.382
Festuca ovina,46.17,15.3,75.93,0.249,0.438,0.432
Festuca pratensis,1347.49,27.13,42.386,0.618,1.5744,0.233
Festuca rubra,305.76,16.178,74.988,0.357,0.8264,0.276
Festuca tucumanica,178.36,14.376,191.024,0.76,1.28,0.404
Festuca varia,384.51,16.567,168.423,0.307,1.1556,0.372
Ficaria verna,476.34,28.575,30.604,0.088,1.654,0.097
Ficus benjamina,1702.14,17.6,99.206,13.551,25,0.568
Ficus citrifolia,7060.84,20.325,54.113,9.603,0.9,0.4
Ficus fistulosa,5767.64,24.1,93.458,12.5,0.3,0.38
Ficus fulva,9500,20.874,48.651,7,0.15,0.387
Ficus insipida,16706.35,24.576,88.741,28.238,1.0402,0.383
Ficus macrophylla,9050,16.9,131.062,12.414,1.8109,0.29
Ficus obtusifolia,8054.2,13.48,96.141,18.574,1.2247,0.41
Ficus popenoei,5090.65,21.55,69.482,34.108,0.5,0.555
Ficus racemosa,5910.69,22.885,66.735,30,0.13,0.386
Ficus virens,700,18.78,50.42,17.345,0.2348,0.34
Filipendula ulmaria,1723.47,28.393,41.81,0.807,0.7452,0.267
Filipendula vulgaris,167.18,18.148,57.018,0.402,0.7659,0.387
Fitzroya cupressoides,15,8.7,140.66,48.455,1.6,0.429
Fragaria vesca,1112.11,18.419,45.257,0.114,0.3229,0.26
Fragaria virginiana,1285.81,14.746,61.385,0.107,0.4771,0.343
Fragaria viridis,558.82,16.303,60.117,0.086,0.4729,0.242
Frangula alnus,1563.94,28.648,29.408,3.539,17.2032,0.411
Frangula californica,969.29,16.175,87.763,2.874,95.4495,0.495
Fraxinus angustifolia,1508.5,26.197,73.244,13.078,64.5884,0.506
Fraxinus excelsior,1683.18,21.349,75.236,23.116,56.7064,0.667
Fraxinus mandshurica,9500,21.763,72.046,28.44,63.5928,0.545
Fraxinus nigra,3141.6,19.572,46.448,21.283,51.6827,0.53
Fraxinus pennsylvanica,4034.27,16.779,87.719,23.16,34.9339,0.579
Fraxinus uhdei,3899.58,15.935,102.331,10.667,21.933,0.947
Fumana thymifolia,4.2,9.23,122.133,0.344,1.4164,0.33
Fumaria officinalis,230.64,49.3,37.828,0.253,3.1622,0.164
Gagea serotina,173.01,22.6,123.137,0.082,0.51,0.136
Gaillardia pinnatifida,120.88,26.163,89.968,0.053,1.2369,0.179
Galatella linosyris,67.75,23.221,87.413,0.242,1.34,0.222
Galeopsis ladanum subsp. angustifolia,128.75,37.55,52.443,0.302,1.719,0.227
Galeopsis segetum,1167.16,41.089,25.597,0.265,1.25,0.164
Galeopsis speciosa,3066,32.65,26.761,0.578,4.0935,0.214
Galeopsis tetrahit,856.55,30.85,31.695,0.366,4.2745,0.161
Galinsoga quadriradiata,623.92,32.066,23.916,0.499,0.2355,0.159
Galium aparine,159.05,25.666,25.912,0.39,7.7522,0.169
Galium boreale,81.52,19.596,43.962,0.387,0.7054,0.305
Galium lucidum,42.59,25.928,24.503,0.386,0.84,0.198
Galium lucidum subsp. corrudifolium,8,16.99,67.991,0.148,0.7339,0.204
Galium mollugo,178.02,28.795,33.24,0.335,0.6288,0.186
Galium odoratum,192.41,24.209,24.265,0.267,5.837,0.135
Galium saxatile,32,25.1,40.762,0.129,0.5872,0.192
Galium sylvaticum,173.25,36.728,17.912,0.608,1.3,0.185
Galium uliginosum,47.83,17.26,32.43,0.27,0.0932,0.23
Galium verum,23.31,20.477,53.441,0.335,0.4784,0.355
Garcinia brasiliensis,3539.39,14.299,87.475,13.5,960,0.61
Garcinia intermedia,7432.24,9.683,107.612,16.399,491.1981,0.666
Garcinia macrophylla,33188.27,13.91,132.275,30,743,0.724
Garcinia madruno,9838.75,12.64,117.04,15.812,3257.201,0.675
Garcinia oblongifolia,3000,21.531,40.556,12.649,454,0.622
Geijera parviflora,540.38,16.579,196.718,5.166,20.8095,0.77
Geissospermum sericeum,9500,25.31,65.531,25,429.4875,0.767
Genipa americana,27551.9,18.31,82.034,23.155,99.524,0.636
Genista hispanica,16.94,30.108,51.337,0.286,3.1875,0.39
Genista tinctoria,119.53,31.286,55.929,0.445,3.9643,0.214
Gentiana acaulis,297.8,13.745,76.351,0.062,0.422,0.235
Gentiana asclepiadea,456.5,42.395,43.328,0.504,0.1066,0.232
Gentiana clusii,692.48,12.193,99.039,0.058,0.44,0.214
Gentiana lutea,21682.23,23.4,72.053,0.758,1.1837,0.196
Gentiana punctata,3224.08,9.644,48.861,0.354,0.6475,0.185
Gentiana purpurea,2481.14,32.195,61.331,0.398,0.48,0.216
Gentiana verna,111.14,15.903,65.153,0.058,0.0681,0.216
Gentianella amarella,3497,21.11,43.062,0.167,0.1451,0.206
Gentianella biebersteinii,173.39,24.17,37.651,0.123,0.09,0.185
Gentianella campestris,32,21.83,26.362,0.127,0.1871,0.144
Gentianella parviflora,296.07,19.702,39.837,0.073,0.0807,0.191
Geranium caespitosum,960,18.22,89.286,0.24,1.69,0.222
Geranium maculatum,5489.91,17.7,26.096,0.364,5.9991,0.189
Geranium molle,349.91,24.42,39.313,0.189,1.096,0.19
Geranium nodosum,7445.2,19.564,23.504,0.226,5.8055,0.192
Geranium pratense,8435.28,31.973,48.959,0.417,7.9209,0.215
Geranium richardsonii,5104.47,31.235,49.659,0.416,4.2558,0.164
Geranium robertianum,1068.65,25.768,30.52,0.276,1.1985,0.19
Geranium rotundifolium,997.4,20.1,25.876,0.19,1.8325,0.216
Geranium sanguineum,1135.34,18.635,45.801,0.266,8.5404,0.32
Geranium sylvaticum,1705.79,25.185,42.274,0.284,5.9083,0.218
Geum canadense,2139.42,12.3,50.51,0.568,2.1215,0.208
Geum montanum,628.3,23.401,78.363,0.134,1.74,0.24
Geum reptans,535.32,25.9,101.168,0.068,0.84,0.24
Geum rivale,6729.58,27.593,46.54,0.466,1.0058,0.233
Geum urbanum,3523.42,14.667,34.104,0.443,1.4941,0.28
Ginkgo biloba,1336,20.3,92.29,32.826,1083.9307,0.45
Gironniera subaequalis,6943.96,30.396,94.697,22.938,27.8,0.457
Gladiolus palustris,1614.69,22.14,61.133,0.384,2.1701,0.204
Glechoma hederacea,492.81,32.076,28.375,0.195,0.604,0.148
Gleditsia triacanthos,12553.43,26.31,40.306,25.374,157.2244,0.68
Gliricidia sepium,675,31.308,72.56,19.81,102.5341,0.6
Globularia cordifolia,43.85,15.132,160.429,0.046,0.5833,0.258
Globularia nudicaulis,734.35,14.411,69.935,0.101,0.72,0.223
Globularia punctata,459.14,16.905,122.969,0.133,0.6183,0.245
Globularia vulgaris,164.02,16.175,122.054,0.178,0.4439,0.234
Glochidion puberum,700,15.842,61.224,1.934,11.11,0.58
Glyceria fluitans,1121.9,27.832,27.771,0.572,1.1925,0.235
Glyceria maxima,6949.31,21.956,55.321,1.394,0.3102,0.233
Gnaphalium supinum,35.05,22.46,37.037,0.045,0.0794,0.19
Gnaphalium sylvaticum,316,15.5,35.073,0.314,0.0363,0.195
Gomphrena pulchella,293.54,26.507,79.212,0.481,1.523,0.187
Goupia glabra,1684.8,15.512,85.08,15,235.7282,0.789
Grewia monticola,3879.76,18.54,154.877,6.3,140.76,0.75
Griselinia littoralis,3096.1,10.22,96.835,3.078,28.592,0.567
Groenlandia densa,54.43,31.207,10.014,0.398,2.2051,0.186
Guapira myrtiflora,7458.07,36.48,60.059,34.491,110.4388,0.52
Guarea glabra,20102.93,18.448,95.889,19.382,570.4582,0.513
Guarea guidonia,6720.38,24.486,72.839,25.369,390.753,0.537
Guarea kunthiana,15656.88,27.178,91.241,31.856,118.3976,0.449
Guarea macrophylla,6925.93,24.791,116.88,13.527,284.1091,0.576
Guatteria dumetorum,5273.05,18.86,68.054,37.06,50.55,0.464
Guazuma ulmifolia,2899.07,27.726,52.177,28.81,4.3225,0.564
Gustavia augusta,55000,22.34,88.574,16,796,0.649
Gustavia hexapetala,8026.81,20.247,76.392,25,118.65,0.709
Gustavia superba,19120.94,37.269,54.275,23.749,5641.4581,0.578
Gutierrezia sarothrae,41.35,21.599,210.177,0.346,0.3783,0.525
Gymnadenia conopsea,1263.02,28.85,55.638,0.375,0.0056,0.125
Gymnosporia heterophylla,3195.34,11.25,152.938,6,7.67,0.49
Hakea cygna,114.01,5.941,485.203,1.2,32.6462,0.746
Hakea dactyloides,965.03,5.605,267.459,2.128,22.9562,0.95
Hakea francisiana,1013.54,4.49,363.636,5.5,8.357,0.67
Hakea leucoptera,80,5.34,955.724,2,17.1572,0.8
Hakea preissii,48.61,4.515,909.091,4,12.1963,0.91
Hakea subsulcata,81.05,7.32,395.257,2,4.9295,0.875
Hakea teretifolia,69.61,5.3,328.796,1.817,7.9094,0.95
Hamamelis virginiana,2047.92,10,48.692,5.382,81.2199,0.71
Hamelia axillaris,3724.44,26.243,46.843,4.679,0.2,0.455
Hamelia patens,1583.51,33.4,66.313,5.82,0.3777,0.395
Hampea appendiculata,17120.75,27.775,60.553,21.393,63.9166,0.254
Hampea nutricia,18009,21.055,61.237,10,110,0.39
Handroanthus chrysanthus,11994.92,28.41,44.643,15,12.6664,1.027
Handroanthus guayacan,2961.12,41.569,62.619,35.346,29.6666,0.83
Handroanthus impetiginosus,7407.5,25.664,74.869,30,128.7037,0.906
Handroanthus serratifolius,3700.59,24.802,73.585,30,110.4021,0.958
Hasseltia floribunda,7795.08,25.916,53.376,17.604,14.8546,0.533
Hebestigma cubense,10931.03,18.4,143.782,31.6,61.7529,0.73
Hedeoma hispida,35.71,15.5,39.816,0.1,0.1897,0.209
Hedera helix,1521.63,15.295,88.407,5.02,20.3584,0.3
Heisteria acuminata,3967.29,14.095,75.382,10.409,48.57,0.712
Heisteria concinna,6390.64,18.724,107.039,20.784,243.4438,0.645
Heisteria ovata,1931.9,19.586,86.994,18.5,200,0.605
Helianthella quinquenervis,1730,24.98,58.824,0.37,7.9492,0.226
Helianthemum apenninum,30.32,19.127,79.638,0.151,1.1529,0.258
Helianthemum nummularium,80.5,23.042,65.656,0.109,0.9675,0.238
Helianthemum oelandicum,15.28,22.072,88.989,0.094,0.5384,0.255
Helianthemum oelandicum subsp. incanum,26.78,16.541,123.003,0.093,0.7409,0.281
Helianthus annuus,10901,27.463,61.477,2.029,37.8335,0.164
Helianthus hirsutus,819.83,17.93,81.766,0.29,4.855,0.326
Helianthus tuberosus,19578.5,32.882,37.98,1.818,3.5687,0.151
Helichrysum arenarium,404.5,17.3,55.34,0.19,0.07,0.211
Helictotrichon bromoides,105.47,18.841,70.734,0.324,1.47,0.277
Helictotrichon pratense,640.75,15.7,87.543,0.578,2.7058,0.433
Helictotrichon pubescens,822.12,19.812,50.436,0.555,1.6389,0.257
Helictotrichon versicolor,237.95,17.255,87.36,0.185,1.6,0.332
Heliocarpus americanus,11446.48,34.993,37.27,22.3,7.95,0.285
Heliocarpus appendiculatus,17112.9,21.521,31.637,30,1.5,0.185
Heliomeris multiflora,250,26.41,63.291,0.358,0.4864,0.335
Heliopsis helianthoides,2243.66,30.95,46.091,1.316,4.5667,0.196
Helleborus foetidus,8703.22,16.6,82.27,0.387,11.3699,0.186
Helleborus niger,22562.41,17.651,88.706,0.215,7.6698,0.216
Hepatica nobilis,2884.51,18.837,36.192,0.1,2.9335,0.201
Heracleum sphondylium,13130.08,35.137,48.996,0.998,6.569,0.227
Herniaria glabra,6.14,20.7,73.276,0.11,0.0755,0.195
Herrania purpurea,58995.5,20.691,65.212,8.833,219.591,0.305
Hesperis matronalis,1144.01,33.74,33.3,0.58,2.3716,0.17
Heteromeles arbutifolia,1585.35,10.36,202.738,5.292,22.9887,0.62
Heteropappus altaicus,235.16,24.629,97.751,0.316,0.566,0.241
Heterotheca villosa,200,23.73,60.606,0.669,0.7988,0.446
Hevea brasiliensis,3283.7,24.179,99.602,28.284,3776.6227,0.475
Hevea pauciflora,3000,19.77,104.712,20,630,0.46
Hibiscus tilliaceus,11960,25,100.766,5,16.5227,0.424
Hieracium fendleri,420,21.51,63.291,0.04,0.48,0.181
Hieracium intybaceum,595.47,18.75,48.763,0.124,0.9,0.191
Hieracium lachenalii subsp. acuminatum,1743.47,15,55.899,0.309,0.9874,0.163
Hieracium lachenalii subsp. acuminatum,1112.75,17.2,36.379,0.394,0.4,0.143
Hieracium laevigatum,1191.96,28.21,44.299,0.543,0.3531,0.174
Hieracium porrifolium,401.29,23.416,67.311,0.327,0.64,0.198
Hieracium prenanthoides,939.19,25.66,45.579,0.571,0.7,0.206
Hieracium racemosum,1926.53,32.257,29.51,0.233,0.31,0.178
Hieracium sabaudum,1637,17.958,21.944,0.868,0.3963,0.154
Hieracium umbellatum,737.05,23.294,48.903,0.456,0.3877,0.325
Hieronyma alchorneoides,7157.33,18.981,77.324,34.25,6.5025,0.625
Hieronyma oblonga,9278.27,24.998,69.415,25,19.95,0.578
Hippocrepis emerus,167.08,42.416,25.826,1.574,6.1096,0.39
Hippuris vulgaris,48.65,27.68,18.977,0.3,0.8643,0.154
Hirtella americana,6519.35,14.99,79.612,16.021,341.25,0.719
Hirtella racemosa,2570.39,15.613,61.548,10,104.37,0.709
Hirtella triandra,2920.58,17.365,61.539,17.025,289.25,0.651
Holcus lanatus,650.81,22.231,32.161,0.336,0.3227,0.203
Holcus mollis,775.13,30.835,25.916,0.41,0.3191,0.16
Holodiscus discolor,661.42,18.038,58.209,2.929,0.1134,0.705
Homogyne alpina,721.75,23.02,60.096,0.105,0.6302,0.159
Honckenya peploides,39.16,20.93,62.102,0.104,3.358,0.179
Hordelymus europaeus,2644.03,29.819,28.079,0.872,5.4569,0.175
Hordeum jubatum,181,22.54,38.751,0.412,1.6304,0.22
Hordeum murinum,306.17,29.566,31.462,0.321,4.9408,0.19
Horminum pyrenaicum,1991.77,26.164,56.969,0.121,1.77,0.195
Hottonia palustris,199.25,19.839,16.474,0.22,0.1342,0.143
Houstonia wrightii,30,14.84,79.365,0.03,0.43,0.283
Hura crepitans,6397.61,30.081,69.515,39.82,794.6384,0.454
Hyacinthoides non-scripta,3285.75,31.95,45.756,0.21,5.9027,0.077
Hybanthus prunifolius,3204.23,19.847,53.588,3.5,14.1582,0.594
Hydrocharis morsus-ranae,1221.98,28.808,27.197,0.048,0.085,0.107
Hydrocotyle vulgaris,469.58,20.36,35.211,0.078,0.3396,0.156
Hymenaea courbaril,1195.58,20.163,122.951,32.202,2849.7208,0.846
Hymenopappus mexicanus,470,15.64,76.336,0.19,1.05,0.23
Hymenoxys hoopesii,1382.83,15.97,54.158,0.62,1.0964,0.196
Hymenoxys richardsonii,140,17.96,96.154,0.21,0.7813,0.195
Hyoscyamus niger,5628.32,54,22.319,0.45,0.7126,0.159
Hyparrhenia hirta,147.97,13.694,78.064,0.331,0.76,0.325
Hypericum humifusum,42.15,18.762,44.343,0.083,0.0402,0.237
Hypericum linarioides,69.05,21.03,52.265,0.16,0.15,0.227
Hypericum maculatum,731,27.852,38.67,0.408,0.0544,0.263
Hypericum montanum,444,20.597,40.65,0.396,0.0601,0.237
Hypericum perforatum,127.63,22.3,40.265,0.457,0.1,0.244
Hypochaeris radicata,993.64,16.074,36.077,0.228,0.757,0.143
Hypochoeris argentina,2030.11,17.383,44.197,0.264,0.7859,0.191
Ilex aquifolium,1540.35,14.968,150.303,6.344,29.9253,0.623
Ilex chinensis,700,11.877,62.09,11.013,9,0.623
Ilex inundata,3000,18.8,89.047,10,13,0.49
Ilex mitis,990,19.849,158.983,24.495,2.11,0.518
Ilex opaca,1798.29,10.988,104.897,8.607,16.8054,0.5
Impatiens balfourii,4569.91,31.706,19.833,0.727,3.64,0.148
Impatiens capensis,1858.38,24.767,19.523,1.305,5.8343,0.147
Impatiens noli-tangere,1577.97,39.8,22.199,0.585,5.5387,0.169
Impatiens pallida,1512.64,13,12.465,1.4,0.64,0.206
Impatiens parviflora,3252.8,17.7,9.005,0.608,7.2428,0.133
Inga acreana,4894.36,31.184,96.805,32.404,500,0.51
Inga cocleensis,3240.85,25.982,68.275,17.704,261.43,0.665
Inga edulis,4559.93,29.53,99.217,21.384,341.87,0.617
Inga goldmanii,11711.76,27.091,63.776,24.615,607.53,0.555
Inga laurina,2123.5,26.399,80.893,17.311,268.03,0.633
Inga leiocalycina,7901.43,32.158,71.939,30.876,420.3914,0.548
Inga nobilis,3328.6,34.111,74.515,18.164,306.2588,0.647
Inga oerstediana,6649.59,30.73,101.729,25.728,380,0.434
Inga punctata,5583.56,30.537,83.744,18.355,367.9,0.542
Inga sapindoides,6952.47,36.62,61.293,22.016,430.7174,0.6
Inga semialata,2545.87,30.863,70.508,29.151,168.4397,0.582
Inga thibaudiana,4742.48,27.752,78.152,20.785,232.92,0.519
Inga umbellifera,5464.67,33.66,62.85,14.963,371.39,0.703
Inula britannica,1588.01,23.848,45.666,0.389,0.1095,0.18
Inula conyza,3857.62,20.5,53.714,0.491,0.2347,0.181
Inula hirta,550,28.2,61.257,0.262,0.4338,0.25
Inula montana,446,22.2,84.297,0.193,0.2354,0.247
Ipomopsis aggregata,160,18.52,83.333,0.64,1.4741,0.18
Ipomopsis multiflora,38,22.47,76.336,0.09,1,0.19
Iriartea deltoidea,83593.24,21.805,110.095,26.095,2782.35,0.287
Iris germanica,11256.88,15.31,82.776,0.425,51.5578,0.109
Iris missouriensis,2020,28.59,111.111,0.342,17.1664,0.334
Iris pseudacorus,20414.71,15,61.283,0.787,47.4565,0.159
Iryanthera hostmannii,7896.81,17.733,92.506,20.331,1600,0.601
Iryanthera juruensis,6136.09,17.603,107.365,21.374,2252.77,0.597
Jacaranda copaia,1368.99,26.922,77.469,37.768,5.1018,0.378
Jacaranda obtusifolia,79,17.81,141.443,15,7.19,0.498
Jacaratia digitata,2570.39,35.37,50.772,40,29.6,0.269
Jacobaea incana,171.73,20.4,87.215,0.082,1.1065,0.212
Jacobaea vulgaris,4456.62,20.082,38.348,0.543,0.1949,0.29
Jasione montana,36.5,26.181,27.48,0.198,0.0222,0.206
Juglans californica,1844,18.7,23.159,8.32,9083.7865,0.51
Juglans nigra,4200,23.641,46.311,28.673,10215.6761,0.56
Juglans regia,3742.83,21.126,71.376,19.624,8495.0278,0.523
Juncus articulatus,198.16,19.405,75.957,0.273,0.015,0.286
Juncus bufonius,74.9,14.86,53.27,0.145,0.0197,0.176
Juncus bulbosus,56.94,13.673,48.405,0.101,0.0157,0.216
Juncus effusus,1402,13.573,167.767,0.761,0.0166,0.09
Juncus filiformis,612.5,26.13,101.96,0.297,0.0225,0.252
Juncus squarrosus,66.75,12.968,171.527,0.223,0.0653,0.349
Juncus subnodulosus,1060.92,15.893,143.889,0.737,0.01,0.2
Juncus tenuis,276.5,14.2,71.747,0.321,0.0135,0.182
Juncus trifidus,74.84,32.277,116.032,0.131,0.1334,0.38
Juncus uruguensis,906.68,14.894,139.092,0.1,0.0226,0.251
Juniperus communis,20.68,11.445,113.24,3.041,11.7085,0.562
Juniperus deppeana,4,9.51,312.5,10.376,60.7197,0.54
Juniperus monosperma,40,10.031,537.914,6.823,23.2127,0.569
Juniperus oxycedrus,17.49,9.644,186.227,5.643,68.7547,0.699
Juniperus phoenicea,5,8.345,170.703,3.96,50.5158,0.72
Juniperus virginiana,28.57,14.718,559.555,22.422,11.0504,0.49
Kalmia latifolia,1319,11.5,131.473,5.526,0.0178,0.74
Kalopanax septemlobus,55000,28.917,37.1,9.487,2.0347,0.38
Karelinia caspia,700,25.8,188.738,0.5,0.3,0.189
Kernera saxatilis,43,32.867,39.764,0.128,0.1449,0.176
Kickxia spuria,1102,21.494,37.062,0.226,0.373,0.186
Kigelia africana,4712,16.9,109.29,25,131.4595,0.63
Knautia arvensis,2463.48,26.42,50.806,0.441,3.7603,0.181
Knautia drymeia,2662.61,30.766,45.717,0.516,2.6,0.177
Knautia transalpina,2874.31,20.201,67.848,0.398,3.52,0.189
Knautia velutina,4366.4,24.642,54.588,0.363,2.53,0.175
Koeleria glauca,148.25,21.4,76.364,0.106,0.17,0.322
Koeleria macrantha,344.5,18.414,85.658,0.207,0.6827,0.23
Koeleria vallesiana,76.49,19.718,79.639,0.112,0.4248,0.305
Lacistema aggregatum,3329.38,20.51,55.307,18.252,25.9754,0.511
Lacmellea panamensis,2531.59,17.821,67.021,23.583,302.8734,0.483
Lactuca alpina,13708.82,30.336,26.408,0.69,1.0744,0.164
Lactuca muralis,2001.98,25.254,16.017,0.508,0.3315,0.25
Lactuca serriola,739.5,30.264,71.419,0.97,0.4366,0.187
Lactuca tatarica,1338.5,22.6,55.866,0.499,0.91,0.18
Laennecia schiedeana,200,21.55,50,0.43,0.02,0.185
Laetia corymbulosa,1195.58,27.61,70.423,8,7.6453,0.636
Laetia procera,5188.99,25.238,72.059,31.347,3.5765,0.627
Laetia thamnia,2130.81,24.782,65.384,15.291,8.65,0.687
Lafoensia punicifolia,1445.48,20.3,95.242,26.116,28.211,0.703
Lamium album,1886.27,42.295,28.469,0.319,1.3798,0.181
Lamium amplexicaule,206.89,29.567,44.482,0.186,0.5471,0.164
Lamium galeobdolon,1564,31.469,31.356,0.349,2.0173,0.165
Lamium maculatum,1349.61,31.505,31.583,0.354,1.4391,0.2
Lamium purpureum,477.13,21.981,28.835,0.214,0.7337,0.166
Lantana camara,1042.65,25.322,44.231,2.785,8.0096,0.33
Laphangium luteoalbum,101.38,29.692,39.495,0.205,0.0119,0.192
Lapsana communis,4939.85,39.258,18.995,0.555,0.8582,0.159
Larix decidua,19.65,19.851,104.331,34.893,6.4868,0.529
Larix eurolepis,70,22.649,118.906,40,4.7497,0.4
Larix gmelinii,50,16.63,96.71,39.969,3.4783,0.551
Larix kaempferi,52.5,16.295,63.033,31.127,4.1567,0.43
Larix laricina,33,15.286,93.581,23.399,1.5223,0.56
Larix occidentalis,25.2,16.382,94.4,50.837,3.2729,0.532
Larrea cuneifolia,22.22,22,191.84,1.591,6.7,0.811
Larrea divaricata,36.04,22.93,170.142,3.662,12.21,0.86
Larrea tridentata,38.61,21.119,197.881,2.466,4.7911,0.854
Laserpitium latifolium,20097.5,26.068,72.861,0.797,7.8027,0.267
Laserpitium nitidum,7290.41,27.224,68.147,0.472,4.9242,0.221
Laserpitium siler,13373.29,25.797,78.062,0.591,7.19,0.263
Lathyrus linifolius,203.39,36.895,41.691,0.243,13.4873,0.282
Lathyrus pratensis,615.86,36.094,39.196,0.365,11.5462,0.253
Lathyrus vernus,1503.5,38.629,24.511,0.27,15.3111,0.182
Laurus nobilis,1540,15.1,117.723,10.923,367.7697,0.67
Lecythis zabucajo,1314.98,22.828,68.675,55,1474.5892,0.856
Legousia speculum-veneris,103.75,19.174,22.184,0.182,0.1898,0.164
Leiospermum racemosum,8457.6,9.612,144.423,10.42,0.1,0.555
Leonia glycycarpa,6780,18.611,102.862,13.216,447.14,0.562
Leontodon hispidus,1629.48,22.875,39.376,0.219,1.0346,0.193
Leontodon taraxacoides,400.25,21.742,49.492,0.041,0.3021,0.183
Lepechinia calycina,1756.43,18.384,89.068,2.787,12.7815,0.61
Lepidium densiflorum,187.22,28.59,22.777,0.281,0.3393,0.158
Lepidium latifolium,3266.77,41.7,65.628,0.705,0.213,0.18
Lepidium ruderale,63.91,40.2,50.092,0.153,0.1984,0.177
Lepidium virginicum,662.75,36.483,43.898,0.4,0.4832,0.185
Leptospermum polygalifolium,33.25,13.309,91.68,4,0.2218,0.945
Leptospermum trinervium,24.25,8.332,131.925,3.091,0.2533,1.05
Lespedeza capitata,295.37,21.315,72.044,0.65,2.627,0.29
Leucadendron laureolum,581.98,5.021,228.715,1.669,26.2701,0.473
Leucadendron salignum,87.73,5.019,217.391,0.721,8.686,0.528
Leucaena leucocephala,49.07,36.67,95.172,3.204,43.4781,0.64
Leucanthemopsis alpina,35.44,23.6,65.958,0.053,0.37,0.188
Leucanthemum heterophyllum,857.23,25.428,42.312,0.509,0.5,0.16
Leucanthemum ircutianum,436.32,17.46,39.162,0.375,0.6,0.169
Leucanthemum vulgare,428.43,21.989,68.02,0.365,0.4212,0.185
Leucojum vernum,3173.75,32.224,30.703,0.104,12.0394,0.074
Liatris aspera,263.36,12.004,72.814,1.2,1.7699,0.207
Liatris cylindracea,139.12,12.8,87.306,0.5,3.906,0.222
Licania alba,6289.4,14.081,135.474,20.753,6379.9248,0.893
Licania heteromorpha,6425.55,13.363,109.837,25.192,2245.6375,0.803
Licania hypoleuca,1793.49,20.854,66.799,24.451,211.42,0.822
Licania majuscula,4642.14,17.084,117.582,28.835,12955.502,0.88
Licania platypus,8406.84,17.84,73.111,25.718,5087.56,0.647
Licaria chrysophylla,7566.44,22.839,94.739,20.494,1237,0.783
Ligusticum mutellina,2646.2,36.2,57.544,0.254,3.4641,0.174
Ligustrum lucidum,2968.41,14.364,111.45,6.538,22.0896,0.602
Ligustrum sinense,278.28,22.795,57.241,5.646,16.0526,0.6
Ligustrum vulgare,548.28,17.348,88.997,3.347,14.8864,0.793
Lilium bulbiferum,461,29.672,54.259,0.71,7.4,0.127
Lilium martagon,3363.28,37.6,38.54,0.583,5.8224,0.118
Linaria alpina,14.27,23.8,46.149,0.064,0.27,0.187
Linaria dalmatica,430,20.13,68.493,0.6,0.14,0.295
Linaria purpurea,77,19.777,62.676,0.6,0.1398,0.195
Linaria vulgaris,157.58,17.094,37.241,0.497,0.1551,0.195
Lindackeria laurina,18437.21,20.216,74.658,22.13,43.7567,0.695
Lindera communis,1136,17.39,78.7,3.5,55.7,0.505
Lindernia dubia,266.81,16.15,13.744,0.091,0.0045,0.14
Linnaea borealis,92.96,9.304,33.562,0.177,1.1894,0.227
Linum australe,11,14.4,86.207,0.22,0.7483,0.227
Linum catharticum,13.1,17.929,34.465,0.128,0.1456,0.288
Linum lewisii,13,28.35,86.207,0.508,1.8177,0.222
Linum perenne,26.5,24.65,38.64,0.437,2.2346,0.201
